Unnamed: 0,Name,Block,Reactor,Status,Net performance MW,Gross performance MW,Commissioning (planned),Shutdown (planned),Sleepment [11] (TWH),country,lat,lon,decommission_year,commission_year
0,BR-3,1,PWR,Stillgelegt,10.0,12,10.10.1962,30.06.1987,0.76,Belgium,,,1987,1962.0
1,Doel,1,PWR,In Betrieb,433.0,454,15.02.1975,-2025,128.88,Belgium,51.32472222,4.258747222,2025,1975.0
2,Doel,2,PWR,In Betrieb,433.0,454,01.12.1975,-2025,127.08,Belgium,51.32472222,4.258747222,2025,1975.0
3,Doel,3,PWR,In Betrieb,1006.0,1056,01.10.1982,-2022,241.55,Belgium,51.32472222,4.258747222,2022,1982.0
4,Doel,4,PWR,In Betrieb,1038.0,1090,01.07.1985,-2025,245.97,Belgium,51.32472222,4.258747222,2025,1985.0
5,Tihange,1,PWR,In Betrieb,962.0,1009,01.10.1975,-2025,284.63,Belgium,50.53462778,5.272533333,2025,1975.0
6,Tihange,2,PWR,In Betrieb,1038.0,1055,01.06.1983,-2023,244.38,Belgium,50.53462778,5.272533333,2023,1983.0
7,Tihange,3,PWR,In Betrieb,1038.0,1089,01.09.1985,-2025,258.41,Belgium,50.53462778,5.272533333,2025,1985.0
8,Kosloduj,1,PWR,Stillgelegt,408.0,440,28.10.1974,31.12.2002,61.07,Bulgaria,43.74613889,23.77050556,2002,1974.0
9,Kosloduj,2,PWR,Stillgelegt,408.0,440,10.11.1975,31.12.2002,62.82,Bulgaria,43.74613889,23.77050556,2002,1975.0
10,Kosloduj,3,PWR,Stillgelegt,408.0,440,20.01.1981,31.12.2006,62.82,Bulgaria,43.74613889,23.77050556,2006,1981.0
11,Kosloduj,4,PWR,Stillgelegt,408.0,440,20.06.1982,31.12.2006,60.99,Bulgaria,43.74613889,23.77050556,2006,1982.0
12,Kosloduj,5,PWR,In Betrieb,963.0,1000,23.12.1988,–,164.28,Bulgaria,43.74613889,23.77050556,2051,1988.0
13,Kosloduj,6,PWR,In Betrieb,1003.0,1000,30.12.1993,–,151.5,Bulgaria,43.74613889,23.77050556,2051,1993.0
14,Biblis (KWB),A,Druckwasserreaktor,Stillgelegt,1167.0,1225,25.08.1974,06.08.2011,232.78,Germany,49.71,8.415277778,2011,1974.0
15,Biblis (KWB),B,Druckwasserreaktor,Stillgelegt,1.24,1.3,06.04.1976,06.08.2011,247.35,Germany,49.71,8.415277778,2011,1976.0
16,Brokdorf (KBR),–,Druckwasserreaktor,In Betrieb,1.41,1.48,14.10.1986,-2021,306.98,Germany,53.85083333,9.344722222,2021,1986.0
17,Brunsbüttel (KKB),–,Siedewasserreaktor,Stillgelegt,771.0,806,13.07.1976,06.08.2011,120.37,Germany,53.89166667,9.201666667,2011,1976.0
18,Emsland (KKE),–,Druckwasserreaktor,In Betrieb,1335.0,1.4,19.04.1988,-2022,296.71,Germany,52.47423056,7.317858333,2022,1988.0
19,Grafenrheinfeld (KKG),–,Druckwasserreaktor,Stillgelegt,1275.0,1345,21.12.1981,27.06.2015,315.58,Germany,49.98408611,10.18466944,2015,1981.0
20,Greifswald (KGR),1,WWER-440/230,Stillgelegt,408.0,440,17.12.1973,18.12.1990,35.45,Germany,54.14058611,13.66442222,1990,1973.0
21,Greifswald (KGR),2,WWER-440/230,Stillgelegt,408.0,440,23.12.1974,14.02.1990,36.57,Germany,54.14058611,13.66442222,1990,1974.0
22,Greifswald (KGR),3,WWER-440/230,Stillgelegt [12],408.0,440,24.10.1977,28.02.1990,33.27,Germany,54.14058611,13.66442222,1990,1977.0
23,Greifswald (KGR),4,WWER-440/230,Stillgelegt,408.0,440,03.09.1979,02.06.1990,28.92,Germany,54.14058611,13.66442222,1990,1979.0
24,Greifswald (KGR),5,WWER-440/213,Stillgelegt,408.0,440,24.04.1989,24.11.1989,–,Germany,54.14058611,13.66442222,1989,1989.0
25,Grohnde (KWG),–,Druckwasserreaktor,In Betrieb,1.36,1.43,04.09.1984,-2021,328.44,Germany,52.03527778,9.413333333,2021,1984.0
26,Großwelzheim (HDR),–,Heißdampfreaktor,Rückgebaut,23.0,25,14.10.1969,20.04.1971,0.01,Germany,50.05814167,8.987130556,1971,1969.0
27,Gundremmingen (KRB),A,Siedewasserreaktor,Stillgelegt [13],237.0,250,01.12.1966,13.01.1977,13.79,Germany,48.51472222,10.40222222,1977,1966.0
28,Gundremmingen (KRB),B,Siedewasserreaktor,Stillgelegt,1284.0,1344,16.03.1984,31.12.2017,295.8,Germany,48.51472222,10.40222222,2017,1984.0
29,Gundremmingen (KRB),C,Siedewasserreaktor,In Betrieb,1288.0,1344,02.11.1984,-2021,286.94,Germany,48.51472222,10.40222222,2021,1984.0
30,Hamm-Uentrop (THTR-300),–,Hochtemperaturreaktor,Stillgelegt,296.0,308,16.11.1985,29.04.1988,2.75,Germany,51.67929722,7.971558333,1988,1985.0
32,Isar (KKI),2,Druckwasserreaktor,In Betrieb,1410.0,1485,22.01.1988,-2022,300.69,Germany,48.60560556,12.29315,2022,1988.0
33,Jülich (AVR),–,Hochtemperaturreaktor,Stillgelegt,13.0,15,17.12.1967,31.12.1988,1.51,Germany,50.90293611,6.421208333,1988,1967.0
34,Kahl (VAK),–,Siedewasserreaktor,Stillgelegt,15.0,16,17.06.1961,25.11.1985,2.05,Germany,50.05911944,8.987272222,1985,1961.0
35,Karlsruhe (KNK I/II),–,Schneller  Brutreaktor,Stillgelegt,17.0,21,09.04.1978,23.08.1991,0.32,Germany,49.099344,8.4328866,1991,1978.0
36,Karlsruhe (MZFR),–,Druckwasserreaktor [14],Stillgelegt,52.0,57,09.03.1966,03.05.1984,4.79,Germany,49.10424722,8.432338889,1984,1966.0
37,Krümmel (KKK),–,Siedewasserreaktor,Stillgelegt,1346.0,1402,28.09.1983,06.08.2011,201.71,Germany,53.41,10.40888889,2011,1983.0
38,Lingen (KWL),–,Siedewasserreaktor,Stillgelegt,183.0,268,01.07.1968,05.01.1979,9.14,Germany,52.48277778,7.300555556,1979,1968.0
39,Mülheim-Kärlich (KMK),–,Druckwasserreaktor,Stillgelegt,1219.0,1302,14.03.1986,09.09.1988,10.29,Germany,50.40777778,7.489722222,1988,1986.0
41,Neckarwestheim (GKN),2,Druckwasserreaktor,In Betrieb,1310.0,1.4,03.01.1989,-2022,278.69,Germany,49.04111111,9175.0,2022,1989.0
42,Niederaichbach (KKN),–,Schwerwasser- Druckröhrenreaktor,Rückgebaut,100.0,106,01.01.1973,31.07.1974,0.02,Germany,48.60462778,12.30398611,1974,1973.0
43,Obrigheim (KWO),–,Druckwasserreaktor,Stillgelegt,340.0,357,29.10.1968,11.05.2005,86.82,Germany,49.36453611,9.076272222,2005,1968.0
44,Philippsburg (KKP),1,Siedewasserreaktor,Stillgelegt,890.0,926,07.05.1979,06.08.2011,187.55,Germany,49.25272222,8.436436111,2011,1979.0
45,Philippsburg (KKP),2,Druckwasserreaktor,Stillgelegt,1392.0,1458,17.12.1984,31.12.2019,319.68,Germany,49.25272222,8.436436111,2019,1984.0
46,Rheinsberg (KKR),–,WWER-70,Stillgelegt,62.0,70,06.05.1966,01.06.1990,9,Germany,53.14699167,12.99015,1990,1966.0
47,Stade (KKS),–,Druckwasserreaktor,Stillgelegt,640.0,672,29.01.1972,14.11.2003,145.9,Germany,53.62,9.530833333,2003,1972.0
48,Unterweser (KKU),–,Druckwasserreaktor,Stillgelegt,1345.0,1.41,29.09.1978,06.08.2011,289.75,Germany,53.4277,8.480197222,2011,1978.0
49,Würgassen (KWW),–,Siedewasserreaktor,Stillgelegt,640.0,670,18.12.1971,26.08.1994,69.68,Germany,51.63916667,9.391388889,1994,1971.0
50,Loviisa,1,PWR,In Betrieb,507.0,531,09.05.1977,-2027,149.68,Finland,60.37222222,26.34722222,2027,1977.0
51,Loviisa,2,PWR,In Betrieb,507.0,531,05.01.1981,-2030,140.1,Finland,60.37222222,26.34722222,2030,1981.0
52,Olkiluoto,1,BWR,In Betrieb,880.0,910,10.10.1979,-2039,252.25,Finland,61.23666667,21.44222222,2039,1979.0
53,Olkiluoto,2,BWR,In Betrieb,890.0,920,10.07.1982,-2042,243.04,Finland,61.23666667,21.44222222,2042,1982.0
54,Olkiluoto,3,PWR,In Bau  seit 2005,1600.0,1720,–,–,–,Finland,61.23666667,21.44222222,2051,
55,Belleville,1,Druckwasserreaktor,In Betrieb,1310.0,1363,14.10.1987,(15.06.2028),228.74,France,47.51027778,2875.0,2028,1987.0
56,Belleville,2,Druckwasserreaktor,In Betrieb,1310.0,1363,06.07.1988,(14.01.2029),227.84,France,47.51027778,2875.0,2029,1988.0
57,Blayais,1,Druckwasserreaktor,In Betrieb,910.0,951,12.06.1981,(14.12.2021),198.72,France,47.51027778,2875.0,2023,1981.0
58,Blayais,2,Druckwasserreaktor,In Betrieb,910.0,951,17.07.1982,(15.02.2023),202.69,France,47.51027778,2875.0,2023,1982.0
59,Blayais,3,Druckwasserreaktor,In Betrieb,910.0,951,17.08.1983,(15.11.2023),194.89,France,47.51027778,2875.0,2023,1983.0
60,Blayais,4,Druckwasserreaktor,In Betrieb,910.0,951,16.05.1983,(14.10.2023),193.57,France,47.51027778,2875.0,2023,1983.0
61,Brennilis (El-4),–,Druckröhrenreaktor,Stillgelegt,70.0,75,09.07.1967,31.07.1985,6.32,France,47.51027778,2875.0,1985,1967.0
62,Bugey,1,UNGG-Reaktor,Stillgelegt,540.0,555,15.04.1972,27.05.1994,55.33,France,45.79722222,5.27,1994,1972.0
63,Bugey,2,Druckwasserreaktor,In Betrieb,910.0,945,10.05.1978,(2029) [16],204.15,France,45.79722222,5.27,2029,1978.0
64,Bugey,3,Druckwasserreaktor,In Betrieb,910.0,945,21.09.1978,-2029,195.64,France,45.79722222,5.27,2029,1978.0
65,Bugey,4,Druckwasserreaktor,In Betrieb,880.0,917,08.03.1979,-2029,197.47,France,45.79722222,5.27,2029,1979.0
66,Bugey,5,Druckwasserreaktor,In Betrieb,880.0,917,31.07.1979,-2030,196.69,France,45.79722222,5.27,2030,1979.0
67,Cattenom,1,Druckwasserreaktor,In Betrieb,1300.0,1362,13.11.1986,(14.04.2027),230.1,France,49.41555556,6.216666667,2027,1986.0
68,Cattenom,2,Druckwasserreaktor,In Betrieb,1300.0,1362,17.09.1987,(14.02.2028),234.11,France,49.41555556,6.216666667,2028,1987.0
69,Cattenom,3,Druckwasserreaktor,In Betrieb,1300.0,1362,06.07.1990,(15.02.2031),213.76,France,49.41555556,6.216666667,2031,1990.0
70,Cattenom,4,Druckwasserreaktor,In Betrieb,1300.0,1362,27.05.1991,(15.01.2032),213.74,France,49.41555556,6.216666667,2032,1991.0
71,Chinon,A1,UNGG-Reaktor,Stillgelegt,70.0,80,14.06.1963,16.04.1973,2.97,France,47.23055556,0.170555556,1973,1963.0
72,Chinon,A2,UNGG-Reaktor,Stillgelegt,180.0,230,24.02.1965,14.06.1985,24.88,France,47.23055556,0.170555556,1985,1965.0
73,Chinon,A3,UNGG-Reaktor,Stillgelegt,360.0,480,04.08.1966,15.06.1990,30.55,France,47.23055556,0.170555556,1990,1966.0
74,Chinon,B1,Druckwasserreaktor,In Betrieb,905.0,954,30.11.1982,(14.02.2024),187.12,France,47.23055556,0.170555556,2024,1982.0
75,Chinon,B2,Druckwasserreaktor,In Betrieb,905.0,954,29.11.1983,(14.08.2024),183.69,France,47.23055556,0.170555556,2024,1983.0
76,Chinon,B3,Druckwasserreaktor,In Betrieb,905.0,954,20.10.1986,(15.03.2027),169.88,France,47.23055556,0.170555556,2027,1986.0
77,Chinon,B4,Druckwasserreaktor,In Betrieb,905.0,954,14.11.1987,(15.04.2028),166.12,France,47.23055556,0.170555556,2028,1987.0
78,Chooz (Ardennes),A,Druckwasserreaktor,Stillgelegt,305.0,320,03.04.1967,30.10.1991,38.6,France,50.09,4.789444444,1991,1967.0
79,Chooz (Ardennes),B1,Druckwasserreaktor,In Betrieb,1.5,1.56,30.08.1996,(14.01.2037),172.12,France,50.09,4.789444444,2037,1996.0
80,Chooz (Ardennes),B2,Druckwasserreaktor,In Betrieb,1.5,1.56,10.04.1997,(15.09.2039),167.97,France,50.09,4.789444444,2039,1997.0
81,Civaux,1,Druckwasserreaktor,In Betrieb,1495.0,1561,24.12.1997,(24.12.2037),153.43,France,46.45611111,0.654166667,2037,1997.0
82,Civaux,2,Druckwasserreaktor,In Betrieb,1495.0,1561,24.12.1999,(24.12.2039),152.41,France,46.45611111,0.654166667,2039,1999.0
83,Cruas,1,Druckwasserreaktor,In Betrieb,915.0,956,29.04.1983,(15.04.2024),180.68,France,44.63388889,4.753888889,2024,1983.0
84,Cruas,2,Druckwasserreaktor,In Betrieb,915.0,956,06.09.1984,(14.04.2025),181.3,France,44.63388889,4.753888889,2025,1984.0
85,Cruas,3,Druckwasserreaktor,In Betrieb,915.0,956,14.05.1984,(15.09.2024),181.51,France,44.63388889,4.753888889,2024,1984.0
86,Cruas,4,Druckwasserreaktor,In Betrieb,915.0,956,27.10.1984,(15.02.2025),177.57,France,44.63388889,4.753888889,2025,1984.0
87,Dampierre,1,Druckwasserreaktor,In Betrieb,890.0,937,23.03.1980,(15.09.2020)  [veraltet],199.86,France,47.73361111,2.5175,2035,1980.0
88,Dampierre,2,Druckwasserreaktor,In Betrieb,890.0,937,10.12.1980,(15.02.2021)  [veraltet],193.38,France,47.73361111,2.5175,2035,1980.0
89,Dampierre,3,Druckwasserreaktor,In Betrieb,890.0,937,30.01.1981,(14.05.2021)  [veraltet],200.54,France,47.73361111,2.5175,2035,1981.0
90,Dampierre,4,Druckwasserreaktor,In Betrieb,890.0,937,18.08.1981,(15.11.2021),191.93,France,47.73361111,2.5175,2035,1981.0
91,Fessenheim,1,Druckwasserreaktor,Stillgelegt,880.0,920,06.04.1977,20.02.2020  [17],201.62,France,47.90361111,7.5625,2020,1977.0
92,Fessenheim,2,Druckwasserreaktor,Stillgelegt,880.0,920,07.10.1977,30.06.2020  [18],202.42,France,47.90361111,7.5625,2020,1977.0
93,Flamanville,1,Druckwasserreaktor,In Betrieb,1330.0,1382,04.12.1985,(14.12.2026),239.83,France,47.90361111,7.5625,2026,1985.0
94,Flamanville,2,Druckwasserreaktor,In Betrieb,1330.0,1382,18.07.1986,(15.03.2027),242.1,France,47.90361111,7.5625,2027,1986.0
95,Flamanville,3,EPR (DWR),In Bau  seit 2007,1.6,1.65,-  [19],–,–,France,47.90361111,7.5625,2051,
96,Golfech,1,Druckwasserreaktor,In Betrieb,1310.0,1363,07.06.1990,(15.02.2031),220.99,France,44.11111111,0.840277778,2031,1990.0
97,Golfech,2,Druckwasserreaktor,In Betrieb,1310.0,1363,18.06.1993,(14.01.2034),192.79,France,44.11111111,0.840277778,2034,1993.0
98,Gravelines,1,Druckwasserreaktor,In Betrieb,910.0,951,13.03.1980,(15.12.2020)  [veraltet],197.5,France,51.01361111,2.136111111,2028,1980.0
99,Gravelines,2,Druckwasserreaktor,In Betrieb,910.0,951,26.08.1980,(15.12.2020)  [veraltet],205.54,France,51.01361111,2.136111111,2028,1980.0
100,Gravelines,3,Druckwasserreaktor,In Betrieb,910.0,951,12.12.1980,(15.06.2021)  [veraltet],204.83,France,51.01361111,2.136111111,2028,1980.0
101,Gravelines,4,Druckwasserreaktor,In Betrieb,910.0,951,14.06.1981,(14.10.2021),206.62,France,51.01361111,2.136111111,2028,1981.0
102,Gravelines,5,Druckwasserreaktor,In Betrieb,910.0,951,28.08.1984,(14.01.2025),188.77,France,51.01361111,2.136111111,2028,1984.0
103,Gravelines,6,Druckwasserreaktor,In Betrieb,910.0,951,01.08.1985,(14.10.2025),187.91,France,51.01361111,2.136111111,2028,1985.0
104,Marcoule,G-2,UNGG-Reaktor,Stillgelegt,38.0,43,22.04.1959,02.02.1980,0.85,France,44.15,4.716666667,1980,1959.0
105,Marcoule,G-3,UNGG-Reaktor,Stillgelegt,0.0,51,04.04.1960,20.06.1984,10.5,France,44.15,4.716666667,1984,1960.0
106,Nogent,1,Druckwasserreaktor,In Betrieb,1310.0,1363,21.10.1987,(14.02.2028),232.07,France,48.51611111,3.517777778,2028,1987.0
107,Nogent,2,Druckwasserreaktor,In Betrieb,1310.0,1363,14.12.1988,(14.05.2029),228.13,France,48.51611111,3.517777778,2029,1988.0
108,Paluel,1,Druckwasserreaktor,In Betrieb,1330.0,1382,22.06.1984,(14.12.2025),257.2,France,49.85805556,0.635555556,2025,1984.0
109,Paluel,2,Druckwasserreaktor,In Betrieb,1330.0,1382,14.09.1984,(14.12.2025),247.99,France,49.85805556,0.635555556,2025,1984.0
110,Paluel,3,Druckwasserreaktor,In Betrieb,1330.0,1382,30.09.1985,(15.02.2026),239.57,France,49.85805556,0.635555556,2026,1985.0
111,Paluel,4,Druckwasserreaktor,In Betrieb,1330.0,1382,11.04.1986,(15.06.2026),246.89,France,49.85805556,0.635555556,2026,1986.0
112,Penly,1,Druckwasserreaktor,In Betrieb,1330.0,1382,04.05.1990,(14.12.2030),224.49,France,49.97666667,1.211944444,2030,1990.0
113,Penly,2,Druckwasserreaktor,In Betrieb,1330.0,1382,04.02.1992,(14.11.2032),209.96,France,49.97666667,1.211944444,2032,1992.0
